#ref;type;comment;from;to;operator
619;bus;;Salzgitter-Lebenstedt;Salzgitter-Lichtenberg;KVG Braunschweig
620;bus;;Salzgitter-Thiede-Steterburg;Braunschweig;KVG Braunschweig
621;bus;;Salzgitter-Lebenstedt;MAN/Alstom;KVG Braunschweig
626;bus;;Salzgitter-Lebenstedt;Salzgitter AG;KVG Braunschweig
627;bus;;Salzgitter-Lichtenberg;Salzgitter AG;KVG Braunschweig
628;bus;;Salzgitter-Bad;Salzgitter AG;KVG Braunschweig
630;bus;;Salzgitter-Lebenstedt;Wolfenbüttel;KVG Braunschweig
631;bus;Expressbus;Salzgitter-Bad;Braunschweig;KVG Braunschweig
640;bus;;Salzgitter-Lebenstedt;Lengede;KVG Braunschweig
650;bus;;Salzgitter-Bad;Seesen;HarzBus
656;bus;;Salzgitter-Bad;Baddeckenstedt;Regionalbus Braunschweig
658;bus;;Groß Elbe;Berel;Regionalbus Braunschweig
660;bus;;Baddeckenstedt;Salzgitter-Bad;Regionalbus Braunschweig
#

=== Landkreis Wolfenbüttel
710;bus;;Wolfenbüttel;Winnigstedt;KVG Braunschweig
730;bus;;Evessen;Braunschweig;Reisebüro Schmidt
731;bus;;Schöppenstedt;Sickte;Reisebüro Schmidt
732;bus;;Evessen;Schöppenstedt;Reisebüro Schmidt
733;bus;;Dettum;Schöppenstedt;Reisebüro Schmidt
739;bus;;Dettum;Sickte;Reisebüro Schmidt
740;bus;;Wolfenbüttel;Weddel;Reisebüro Schmidt
741;bus;;Weferlingen;Sickte;Reisebüro Schmidt
742;bus;;Weddel;Sickte;Reisebüro Schmidt
743;bus;;Veltheim;Destedt;Reisebüro Schmidt
744;bus;;Sickte;Dettum;Reisebüro Schmidt
745;bus;;Schandelah;Abbenrode;Reisebüro Schmidt
746;bus;;Winnigstedt;Schöppenstedt;Reisebüro Schmidt
747;bus;;Winnigstedt;Schöppenstedt;Reisebüro Schmidt
748;bus;;Remlingen;Schöppenstedt;Reisebüro Schmidt
750;bus;;Hornburg;Wolfenbüttel;Verkehrsbetriebe Bachstein
751;bus;;Börßum;Wolfenbüttel;Verkehrsbetriebe Bachstein
752;bus;;Schöppenstedt;Wolfenbüttel;Verkehrsbetriebe Bachstein
753;bus;;Ohrum;Schladen;Verkehrsbetriebe Bachstein
754;bus;;Hornburg;Hornburg;Verkehrsbetriebe Bachstein
755;bus;;Schladen;Börßum;Verkehrsbetriebe Bachstein
756;bus;;Remlingen;Denkte;Verkehrsbetriebe Bachstein
757;bus;;Schladen;Schladen;Verkehrsbetriebe Bachstein
789;bus;;WF Linden;WF Kornmarkt/Groß Stöckheim;KVG Braunschweig
790;bus;;WF Kornmarkt;Salzgitter Thiede;KVG Braunschweig
791;bus;;Wolfenbüttel Lebenshilfe;Westring;KVG Braunschweig
792;bus;;Atzum;Westring;KVG Braunschweig
793;bus;;Neuer Weg;Exer;KVG Braunschweig
794;bus;;WF Linden;Pfingstanger;KVG Braunschweig
795;bus;;Salzdahlumer Straße;Wilhelm Raabe-Schule;KVG Braunschweig
796;bus;;Schweigerstraße;Kornmarkt;KVG Braunschweig
797;bus;;Halchter;Fümmelse;KVG Braunschweig
798;bus;;Salzdahlum;Kornmarkt;KVG Braunschweig
799;bus;;Linden Süd;Kornmarkt;KVG Braunschweig
#

=== Landkreis Goslar
801;bus;;Oker Schrevenwiesen;Goslar Krankenhaus;Stadtbus Goslar
802;bus;;Oker Am Müllerkamp;Goslar Krankenhaus;Stadtbus Goslar
803;bus;;Baßgeige;Bergbaumuseum;Stadtbus Goslar
804;bus;;Nordberg;Hahndorf;Stadtbus Goslar
805;bus;;Oker Am Müllerkamp;Goslar Schulzentrum;Stadtbus Goslar
806;bus;;Oker Schrevenwiesen;Goslar Bahnhof;Stadtbus Goslar
810;bus;;Goslar;Bad Harzburg;HarzBus
820;bus;;Bad Harzburg;Sankt Andreasberg;KVG Braunschweig
821;bus;;Bad Harzburg;Vienenburg;HarzBus
822;bus;;Goslar;Beuchte;HarzBus
830;bus;;Goslar;Clausthal-Zellerfeld;HarzBus
831;bus;;Goslar;Altenau;HarzBus
832;bus;;Goslar;Lautenthal;HarzBus
833;bus;;Goslar;Bredelem;HarzBus
834;bus;;Goslar;Neuwallmoden;HarzBus
836;bus;;Seesen;Rhüden;Pülm Reisen GmbH
837;bus;;Seesen;Bad Gandersheim;Pülm Reisen GmbH
840;bus;;Clausthal-Zellerfeld;Sankt Andreasberg;HarzBus
841;bus;;Schulenberg;Clausthal-Zellerfeld;HarzBus
842;bus;;Clausthal-Zellerfeld Ostbahnhof;Clausthal-Zellerfeld Kronenplatz;HarzBus
851;bus;;Salzgitter Bad;Klein Döhren/Neuenkirchen;HarzBus
852;bus;;Goslar;Liebenburg;HarzBus
859;bus;;Seesen Bahnhof;Seesen Bahnhof;HarzBus
860;bus;;Goslar;Salzgitter Bad;HarzBus
861;bus;;Altenau;Goslar;HarzBus
# 866;bus;Saisonverkehr (Frühling bis Herbst);Bad Harzburg;Kästeklippen;KVG Braunschweig - Linie ist laut Internetseite der KVG seit dem 14.08.2019 eingestellt
871;bus;;Bad Harzburg Burgbergbahn;Bad Harzburg Burgbergbahn;KVG Braunschweig
873;bus;;Bad Harzburg Bahnhof;Bad Harzburg Bahnhof;KVG Braunschweig
874;bus;;Bad Harzburg;Eckertal;KVG Braunschweig
875;bus;Saisonverkehr (Frühling bis Herbst) und zusätzliche Tagesmaut zum Fahrpreis;Bad Harzburg;Bad Harzburg;KVG Braunschweig
#

=== Angrenzende Verbünde

- Liste aller Linien, die das Gebiet des VRB durchfahren, allerdings nicht von einem Unternehmen betrieben werden, welches Teil des VRB ist.

==== Verkehrsbetriebe Nordhausen
23;bus;Nordhausen;Hohegeiß;Verkehrsbetriebe Nordhausen

==== Regionalverkehr Hildesheim
N3;bus;Nachtbus;Hildesheim;Hohenhameln;Regionalverkehr Hildesheim
N4;bus;Nachtbus;Hildesheim;Groß Lafferde;Regionalverkehr Hildesheim
25;bus;;Hildesheim;Soßmar;Regionalverkehr Hildesheim
