#ref;type;comment;from;to;operator
5200;bus;;;;KVG Stade GmbH & Co. KG
5201;bus;;;;KVG Stade GmbH & Co. KG
5202;bus;;;;KVG Stade GmbH & Co. KG
5300;bus;;;;KVG Stade GmbH & Co. KG
5303;bus;;;;KVG Stade GmbH & Co. KG
5304;bus;;;;KVG Stade GmbH & Co. KG
5361;bus;;;;KVG Stade GmbH & Co. KG
5362;bus;;;;KVG Stade GmbH & Co. KG
5402;bus;;;;KVG Stade GmbH & Co. KG
5405;bus;;;;KVG Stade GmbH & Co. KG
5600;bus;;;;KVG Stade GmbH & Co. KG
5604;bus;;;;KVG Stade GmbH & Co. KG
5700;bus;;;;KVG Stade GmbH & Co. KG
5701;bus;;;;KVG Stade GmbH & Co. KG
5702;bus;;;;KVG Stade GmbH & Co. KG
5703;bus;;;;KVG Stade GmbH & Co. KG
5900;bus;;;;KVG Stade GmbH & Co. KG
5901;bus;;;;KVG Stade GmbH & Co. KG
5931;bus;;;;KVG Stade GmbH & Co. KG

== Schulbus Verkehr
5112;bus;;;;KVG Stade GmbH & Co. KG
5114;bus;;;;KVG Stade GmbH & Co. KG
5120;bus;;;;KVG Stade GmbH & Co. KG
5131;bus;;;;KVG Stade GmbH & Co. KG
5203;bus;;;;KVG Stade GmbH & Co. KG
5203;bus;;;;KVG Stade GmbH & Co. KG
5301;bus;;;;KVG Stade GmbH & Co. KG
5302;bus;;;;KVG Stade GmbH & Co. KG
5403;bus;;;;KVG Stade GmbH & Co. KG
5404;bus;;;;KVG Stade GmbH & Co. KG
5606;bus;;;;KVG Stade GmbH & Co. KG
5705;bus;;;;KVG Stade GmbH & Co. KG
5706;bus;;;;KVG Stade GmbH & Co. KG
5902;bus;;;;KVG Stade GmbH & Co. KG
5903;bus;;;;KVG Stade GmbH & Co. KG
5904;bus;;;;KVG Stade GmbH & Co. KG
5917;bus;;;;KVG Stade GmbH & Co. KG
5918;bus;;;;KVG Stade GmbH & Co. KG
5919;bus;;;;KVG Stade GmbH & Co. KG
5920;bus;;;;KVG Stade GmbH & Co. KG
5921;bus;;;;KVG Stade GmbH & Co. KG
5922;bus;;;;KVG Stade GmbH & Co. KG
5925;bus;;;;KVG Stade GmbH & Co. KG

== Mein RufMobil
5151;bus;;;;KVG Stade GmbH & Co. KG
5152;bus;;;;KVG Stade GmbH & Co. KG
5101;bus;;;;KVG Stade GmbH & Co. KG
5251;bus;;;;KVG Stade GmbH & Co. KG
5451;bus;;;;KVG Stade GmbH & Co. KG

== Anruf-Sammel-Mobil
5801;bus;;;;KVG Stade GmbH & Co. KG
5802;bus;;;;KVG Stade GmbH & Co. KG
5803;bus;;;;KVG Stade GmbH & Co. KG
5804;bus;;;;KVG Stade GmbH & Co. KG
5805;bus;;;;KVG Stade GmbH & Co. KG
5806;bus;;;;KVG Stade GmbH & Co. KG
5807;bus;;;;KVG Stade GmbH & Co. KG
5808;bus;;;;KVG Stade GmbH & Co. KG
5809;bus;;;;KVG Stade GmbH & Co. KG
5813;bus;;;;KVG Stade GmbH & Co. KG
5815;bus;;;;KVG Stade GmbH & Co. KG
5817;bus;;;;KVG Stade GmbH & Co. KG
5819;bus;;;;KVG Stade GmbH & Co. KG
5821;bus;;;;KVG Stade GmbH & Co. KG
5822;bus;;;;KVG Stade GmbH & Co. KG
5823;bus;;;;KVG Stade GmbH & Co. KG
5824;bus;;;;KVG Stade GmbH & Co. KG
5825;bus;;;;KVG Stade GmbH & Co. KG
5826;bus;;;;KVG Stade GmbH & Co. KG
5827;bus;;;;KVG Stade GmbH & Co. KG
5829;bus;;;;KVG Stade GmbH & Co. KG

== Busverkehr im Landkreis Harburg
=== Stadtverkehr Winsen (Luhe)
4001;bus;;;;KVG Stade GmbH & Co. KG
4002;bus;;;;KVG Stade GmbH & Co. KG

=== RegionalBus
149;bus;;;;KVG Stade GmbH & Co. KG
248;bus;;;;KVG Stade GmbH & Co. KG
343;bus;;;;KVG Stade GmbH & Co. KG
348;bus;;;;KVG Stade GmbH & Co. KG
440;bus;;;;KVG Stade GmbH & Co. KG
540;bus;;;;KVG Stade GmbH & Co. KG
647;bus;;;;KVG Stade GmbH & Co. KG
2038;bus;;;;KVG Stade GmbH & Co. KG
4037;bus;;;;KVG Stade GmbH & Co. KG
4038;bus;;;;KVG Stade GmbH & Co. KG
4039;bus;;;;KVG Stade GmbH & Co. KG
4148;bus;;;;KVG Stade GmbH & Co. KG
4200;bus;;;;KVG Stade GmbH & Co. KG
4207;bus;;;;KVG Stade GmbH & Co. KG
4208;bus;;;;KVG Stade GmbH & Co. KG
4210;bus;;;;KVG Stade GmbH & Co. KG
4404;bus;;;;KVG Stade GmbH & Co. KG
4405;bus;;;;KVG Stade GmbH & Co. KG
4406;bus;;;;KVG Stade GmbH & Co. KG
4407;bus;;;;KVG Stade GmbH & Co. KG
4408;bus;;;;KVG Stade GmbH & Co. KG
4410;bus;;;;KVG Stade GmbH & Co. KG
4700;bus;;;;KVG Stade GmbH & Co. KG
4701;bus;;;;KVG Stade GmbH & Co. KG
4705;bus;;;;KVG Stade GmbH & Co. KG
4710;bus;;;;KVG Stade GmbH & Co. KG
4714;bus;;;;KVG Stade GmbH & Co. KG
4715;bus;;;;KVG Stade GmbH & Co. KG
4716;bus;;;;KVG Stade GmbH & Co. KG
4717;bus;;;;KVG Stade GmbH & Co. KG
4801;bus;;;;KVG Stade GmbH & Co. KG
4860;bus;;;;KVG Stade GmbH & Co. KG
4870;bus;;;;KVG Stade GmbH & Co. KG
4943;bus;Anruf-Linien-Taxi parallel zur Linie 149;;;KVG Stade GmbH & Co. KG
4944;bus;Anruf-Linien-Taxi parallel zur Linie 4404;;;KVG Stade GmbH & Co. KG
4945;bus;Anruf-Linien-Taxi parallel zur Linie 5402;;;KVG Stade GmbH & Co. KG
4946;bus;Anruf-Linien-Taxi parallel zur Linie 4410;;;KVG Stade GmbH & Co. KG
4947;bus;Anruf-Linien-Taxi parallel zur Linie 4406;;;KVG Stade GmbH & Co. KG
4948;bus;Anruf-Linien-Taxi parallel zur Linie 4407;;;KVG Stade GmbH & Co. KG
5200;bus;;;;KVG Stade GmbH & Co. KG
5201;bus;;;;KVG Stade GmbH & Co. KG
5202;bus;;;;KVG Stade GmbH & Co. KG
5402;bus;;;;KVG Stade GmbH & Co. KG
5403;bus;;;;KVG Stade GmbH & Co. KG
5405;bus;;;;KVG Stade GmbH & Co. KG
